Content ID,Content,Original Tag,Prediction p0,Prediction p1,Prediction p2
100066,纯电版福特探险者来了，但已不是想象中的模样！ 福特探险者纯电版海外已经亮相，但身材已大幅缩水，不再是我们想象中的模样。,1,0,0,0
100011,一汽红旗H6为何深受90后消费者的喜爱？ 90后买车能有多冷门，让你猜十次你也猜不到。近日，发布预售的一汽红旗H6可谓是受到90后的强烈关注，,1,0,0,0
100018,马自达CX-50售价曝光！2种动力可选，5月上市 马自达CX-50售价曝光！2种动力可选，5月上市,1,1,0,0
100026,【天天资讯】14.57万起，东风标致408X开启预售 大家好，欢迎收看天天资讯，本期为大家介绍，日前，东风标致全新车型408X正式开启预售，新车共推出4款车型供消费者选择，预售价格区间为14.57—17.97万元。,1,1,0,0
100030,【天天资讯】起售价降低，新款丰田格瑞维亚配置信息曝光 大家好，欢迎收看天天资讯，本期为大家介绍，近日，我们从相关渠道获取到一则消息，新款一汽丰田格瑞维亚将新增舒适版和豪华版车型，并且对比现款车型起售价降低了4万元整，而现款车型价格则上调0.1-0.5万元不等，预计新车售价区间为31.58-41.58万元。,1,1,0,0
100057,6月见 SF 又一辆多快好省的新能源专业越野SUV 比亚迪再推F品牌，旗下首款车型SF已经开启路试，或将在6月正式发布，定价或将冲击40-60万元区间，或搭载DM-i、DM-p超级混动系统，前后双电机输出总功率超过500kW，您期待吗？,1,0,0,0
100082,男人可以买来送媳妇的新选择，奔驰Smart精灵三来了 作为smart全面焕新后的第二款车型，全新smart精灵#3定位为智能纯电紧凑级轿跑SUV。其整体延续smart精灵#1“感性·灵锐”哲学设计 ，让我们在它们身上发现很多相似点。,1,0,0,0
100002,顺丰？少妇？平替奔驰大G？｜深度解密比亚迪F品牌SF 顺丰？少妇？平替奔驰大G？｜深度解密比亚迪F品牌SF,1,0,0,0
100040,探店红旗H6：预售价19.48万元起，对比德系双雄，真不贵？ 红旗H6预售价发布，到店看实车，19.48万元起的价格，贵吗？本期节目对比一下竞品给你答案。,1,1,0,0
100041,兰博基迪？比基迪？对标五菱缤果｜深度聊聊比亚迪海鸥 兰博基迪？比基迪？对标五菱缤果｜深度聊聊比亚迪海鸥,1,0,0,0
100045,火星架构发布瑞虎9预售 奇瑞旗下旗舰中型SUV——瑞虎9开启预售，盲订起售价为16万元。新车整体造型大气、豪华，让人眼前一亮。作为火星架构-超级混动平台的第一款量产车型，瑞虎9不仅提供“鲲鹏燃油动力”版本，后续还将提供“鲲鹏超级智能混动”版本供用,1,1,0,0
100059,坦克400实车曝光：金属银涂装亮眼，配3.0T+9AT！爆款潜质明显？ 近日，已有网友拍到了坦克400量产版的实车图。据悉，新车造型硬派越野范浓郁，配3.0T+9AT，售价或30万元左右。,1,1,0,0
100086,比亚迪海鸥官宣开启预热，F品牌 秦plus EV重磅消息 比亚迪海鸥官宣开启预热，F品牌 秦plus EV重磅消息,1,0,0,0
100087,飞度polo欲哭无泪！前有五菱缤果，后有比亚迪海鸥，小型车要变天 飞度polo欲哭无泪！前有五菱缤果，后有比亚迪海鸥，小型车要变天,1,0,0,0
100002,秦PLUS EV冠军版来袭，升级e平台3.0，网友：9.98万交个朋友！ 秦PLUS EV冠军版来袭，升级e平台3.0，网友：9.98万交个朋友！,1,0,0,0
100017,"小车王者归来：比亚迪海鸥外观曝光，或8万元起售 《早懂车》日前从官方渠道获得一组海鸥外观设计图：不同于海豚的萌动和海豹的动感优雅，海鸥的整体风格偏向运动，造型上融入赛博朋克元素，采用简约的线条，尽显潮酷个性主张，这也展现出了""海洋美学""设计理念的强大创造力和生命力。",1,1,0,0
100036,【天天资讯】纯燃油版绝唱，道奇Challenger SRT Demon 170官图发布 大家好，欢迎收看天天资讯，本期为大家介绍道奇Challenger SRT Demon 170官图。近日，道奇Challenger SRT Demon 170官图正式发布。新车此次主要在动力方面做了很大的升级，例如当车辆采用E85乙醇汽油时，其最大功率为753.88kW。,1,1,0,0
100037,【天天资讯】外观大改，丰田新款汉兰达外观渲染图曝光 大家好，欢迎收看天天资讯，本期为大家介绍丰田新款汉兰达外观渲染图。近日，一组丰田新款汉兰达车型外观渲染图从网络上曝光，新车外观进行了很大改变，换装了超大尺寸的前格栅。,1,1,0,0
100039,【天天资讯】外观更年轻，全新奥迪Q5假想图曝光 大家好，欢迎收看天天资讯，本期为大家介绍全新奥迪Q5假想图。近日，有海外媒体曝光了一组全新一代Q5车型的假想图。据悉，新车有望在2023年内发布。,1,1,0,0
100055,【天天资讯】4月份上市，魏牌蓝山首发亮相 大家好，欢迎收看天天资讯，本期为大家介绍魏牌蓝山首发。预计售价区间为30-35万元。据悉，新车将于3月20日陆续到店，4月份正式上市。,1,1,0,0
100057,【天天资讯】造型时尚前卫，奇瑞iCar GT跑车设计草图发布 大家好，欢迎收看天天资讯，本期为大家介绍奇瑞iCar GT跑车设计草图。近日，奇瑞iCar发布了旗下最新跑车——iCar GT的设计草图。根据发布的设计图来看，新车采用了家族最新的设计理念，与品牌现款在售车型有着很大不同。,1,1,0,0
100063,比亚迪又放大招了 新车SF谍照曝光 比亚迪又放大招了 新车SF谍照曝光,1,1,0,0
100072,腾势N7亮相，全球首搭DEVIALET音响系统，烧友们的新选择？ 飞凡F7的3D矢量音响技术确实有点东西，在播放音乐时有歌剧院那味了。这不腾势N7也卷起来了。宣称将与法国DEVIALET品牌合作，并亮相了首款搭载DEVIALET音响的车型——腾势N7。,1,0,0,0
100004,林肯全新航海家曝光！内饰变化太大，还看奔驰GLC？ 林肯全新航海家曝光！内饰变化太大，还看奔驰GLC？,1,1,0,0
100038,小米首款汽车官图、配置疑似曝光 或售价30万起？你买吗？ 小米首款汽车官图、配置疑似曝光 或售价30万起？你买吗？,1,1,0,0
100048,魏牌新摩卡正式亮相，混动大五座SUV市场有望迎来大洗牌 馈电油耗5.55L，既省心又智能，魏牌新摩卡究竟有多能打？,1,1,0,0
100068,比亚迪全新F品牌硬派越野谍照再曝光，神秘代码2316究竟有何意义? 备受关注的比亚迪全新F品牌的首款车型SF如今再度爆出谍照，车窗上神秘的2316到底是几个意思呢？今天斯基也来聊一聊。,1,1,0,0
100072,新车擎报：smart精灵#3 新车擎报：smart精灵#3,1,0,0,0
